"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Tainan, Taiwan","AD00406","J2102",2024-12-22,13.3,41,55.2,65.7,31.8,25.6
"Adama, Ethiopia","AD00412","J1678",2024-12-21,22,65,26.6,65.6,20.2,30.8
"Tainan, Taiwan","AD00406","J2102",2024-12-21,23.7,72,31.4,46.7,34.1,26.5
"AASTU, Ethiopia","AD00098","J2270",2024-12-20,17,43,15.6,24.9,21.4,29.4
"Adama, Ethiopia","AD00412","J1678",2024-12-20,23.7,67,37.8,114.2,16.8,35
"AASTU, Ethiopia","AD00098","J2267",2024-12-19,8.3,23,25.5,37.8,34.6,19.1
"AASTU, Ethiopia","AD00098","J2267",2024-12-18,23.7,20,18.3,26.3,29.4,23.4
"Adama, Ethiopia","AD00412","J2328",2024-12-16,8.7,25,35.7,50.5,22.2,30.9
"AASTU, Ethiopia","AD00098","J2326",2024-12-15,1,4,12.2,12.8,13.7,36.9
"Adama, Ethiopia","AD00412","J2328",2024-12-15,23.7,70,49.1,112.8,22.6,29
"Tainan, Taiwan","AD00406","J2091",2024-12-15,9.3,29,57.9,64.5,32.5,29.6
"Adama, Ethiopia","AD00412","J2328",2024-12-14,24,73,36.8,119.6,19.6,30.6
"Tainan, Taiwan","AD00406","J2091",2024-12-14,23.7,72,55.9,69.8,34.7,23.6
"Adama, Ethiopia","AD00412","J2328",2024-12-13,23.7,72,65.9,301.7,15.6,36.5
"Tainan, Taiwan","AD00403","J2009",2024-12-11,9.3,29,13,23.6,31.9,38.2
"Tainan, Taiwan","AD00406","J2094",2024-12-11,9.3,29,13.6,25.8,31.7,36.7
"Tainan, Taiwan","AD00403","J2009",2024-12-10,23.7,72,31.9,48,37.3,33.6
"Tainan, Taiwan","AD00406","J2094",2024-12-10,23.7,72,26.4,40.9,37.4,31.7
"Adama, Ethiopia","AD00412","J2301",2024-12-08,8,25,15.7,29.7,15.2,32.9
"Tainan, Taiwan","AD00403","J2036",2024-12-08,9.3,29,21.3,28.7,31.6,34.7
"Tainan, Taiwan","AD00406","J2077",2024-12-08,9.3,29,14.8,19.8,26.9,34.4
"AASTU, Ethiopia","AD00098","J2314",2024-12-07,1,2,3.8,4.2,12.1,30.5
"Adama, Ethiopia","AD00412","J2301",2024-12-07,23.7,57,28.1,74.9,19.7,29.1
"Tainan, Taiwan","AD00403","J2036",2024-12-07,23.7,72,20.3,32.5,36.9,32.7
"Tainan, Taiwan","AD00406","J2077",2024-12-07,23.7,72,17.1,29.2,36.3,31
"AASTU, Ethiopia","AD00098","J2314",2024-12-06,23.3,34,9.6,17.7,19.2,26.3
"Adama, Ethiopia","AD00412","J2301",2024-12-06,24,72,37.6,99.9,15.4,36.3
"Tainan, Taiwan","AD00403","J2039",2024-12-06,9.3,29,38.1,65.8,30,39
"Tainan, Taiwan","AD00406","J2101",2024-12-06,9.3,29,27.6,49.6,25.4,38.8
"AASTU, Ethiopia","AD00098","J2319",2024-12-05,1.7,6,9,13.7,17.8,33.9
"Tainan, Taiwan","AD00403","J2039",2024-12-05,23.7,72,29.4,54.1,36.5,33.5
"Tainan, Taiwan","AD00406","J2101",2024-12-05,23.7,72,24.7,46.3,35.5,32
"AASTU, Ethiopia","AD00098","J2319",2024-12-04,24,73,14.1,25.1,19,31.9
"Tainan, Taiwan","AD00403","J2038",2024-12-04,9.3,29,47.2,85.8,30.5,39.8
"Tainan, Taiwan","AD00406","J2090",2024-12-04,9.3,29,51.6,96.6,30.7,38.5
"AASTU, Ethiopia","AD00098","J2281",2024-12-03,7,22,10.4,12.8,16.6,35.4
"Adama, Ethiopia","AD00412","J2294",2024-12-03,22.7,69,27.6,49.1,22.5,30.2
"Tainan, Taiwan","AD00403","J2038",2024-12-03,23.7,72,57.1,95.4,39,34.4
"Tainan, Taiwan","AD00406","J2090",2024-12-03,23.7,72,47.1,81.4,37.5,33.2
"AASTU, Ethiopia","AD00098","J2281",2024-12-02,23.7,45,18.4,34.3,24.2,27
"Adama, Ethiopia","AD00412","J2294",2024-12-02,24,73,43,117.8,16.4,37.5
"Tainan, Taiwan","AD00403","J2049",2024-12-02,9.3,29,48,78.4,32,38
