"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"AASTU, Ethiopia","AD00091","J0074",2021-06-22,0,2,1.2,1.3,69.7,29.6
"Delhi, India","AD00096","J0073",2021-06-22,24,73,12.5,27,52.2,27.2
"Delhi, India","AD00096","J0078",2021-06-21,23,70,5.8,12.4,49.4,32.6
"AASTU, Ethiopia","AD00091","J0074",2021-06-20,4,12,1.1,2.5,73.4,30.7
"Delhi, India","AD00096","J0078",2021-06-20,23.3,69,6.4,15.2,54.5,30.6
"AASTU, Ethiopia","AD00091","J0074",2021-06-19,23.3,68,4.6,8.3,69.8,26.7
"Delhi, India","AD00096","J0078",2021-06-19,23,69,5.1,9.9,57,28.5
"AASTU, Ethiopia","AD00091","J0074",2021-06-18,23.7,72,23,35.2,46.7,35.3
"Delhi, India","AD00096","J0058",2021-06-14,1.7,6,4.5,5.2,21.8,37
"Delhi, India","AD00096","J0058",2021-06-13,23.7,72,9.1,16.7,26.9,34.2
"Delhi, India","AD00096","J0058",2021-06-12,23.7,72,8.7,16.6,29.3,32.3
"Delhi, India","AD00096","J0058",2021-06-11,23.6,73,3.8,7.4,21.7,26.3
"Delhi, India","AD00096","D0684",2021-06-09,0.3,2,5.9,6.1,5.8,51
"Delhi, India","AD00096","D0685",2021-06-09,17.3,54,8.2,20.2,20.2,36.7
"Delhi, India","AD00096","D0683",2021-06-08,2,7,13.6,18.5,10,45.2
"Delhi, India","AD00096","J0058",2021-06-08,0.7,2,3.9,6.3,20.4,32.3
"Delhi, India","AD00096","J0058",2021-06-07,22.3,68,5.7,7.9,20.2,35.9
"Delhi, India","AD00096","J0058",2021-06-05,4,13,5,6.1,15.1,42.3
"Delhi, India","AD00096","J0058",2021-06-04,23.7,74,6.2,10.9,15.3,39.8
"Delhi, India","AD00096","J0058",2021-06-03,0,1,7.6,7.6,22.1,33.7
"Delhi, India","AD00096","J0058",2021-06-02,4,14,2.8,7.4,23.8,35.5
"Delhi, India","AD00096","J0058",2021-06-01,23.7,70,5.7,12.1,28.6,28
"Taichung, Taiwan","AD00094","D0920",2021-05-21,2.2,3,0.2,0.2,17.8,32.2
"Taichung, Taiwan","AD00094","D0901",2021-05-20,0.8,6,0.3,0.5,15.5,34.1
"Taichung, Taiwan","AD00094","D0920",2021-05-20,22.1,96,0.3,0.8,15.5,33.9
"Taichung, Taiwan","AD00094","D0901",2021-05-18,21.7,77,0.7,2,15.5,36.1
"Taichung, Taiwan","AD00094","D0901",2021-05-17,23.9,160,1.1,3.2,15.1,35.9
"Taichung, Taiwan","AD00094","D0901",2021-05-16,23.9,275,1.7,3,15.6,35.9
"Taichung, Taiwan","AD00094","D0901",2021-05-15,23.9,237,1.5,3.4,13.5,36
"Taichung, Taiwan","AD00094","D0901",2021-05-14,23.9,122,0.3,0.7,9.8,37
"Taichung, Taiwan","AD00094","D0901",2021-05-13,21.2,25,0.6,1.1,10.5,36.1
"Taichung, Taiwan","AD00094","D0901",2021-05-12,21.3,15,0.2,0.3,14.9,29.9
"Delhi, India","AD00096","J0112",2021-04-19,23.6,72,19.5,34.4,26.3,23.8
"Delhi, India","AD00096","J0112",2021-04-18,23.7,72,12,18.6,23.4,26.1
"Delhi, India","AD00096","J0112",2021-04-17,23.7,72,9.5,15,27.8,24.6
"Delhi, India","AD00096","J0112",2021-04-16,23.6,72,13.3,27.4,31.2,22.5
"Delhi, India","AD00096","J0112",2021-04-15,24,73,5.5,12.1,30.2,22.1
"AASTU, Ethiopia","AD00093","J0056",2021-03-12,12.3,31,0.3,1,15.5,27.4
"Tainan, Taiwan","AD00092","J0062",2021-03-12,16,42,0.4,1.1,15.7,27.2
"AASTU, Ethiopia","AD00093","J0056",2021-03-11,10.7,19,13.5,42.2,30.4,13.3
"Tainan, Taiwan","AD00092","J0062",2021-03-11,23.7,19,5,13.1,28.9,17.1
"AASTU, Ethiopia","AD00093","J0056",2021-03-10,23.7,72,5.2,13.5,30.2,7.8
"Tainan, Taiwan","AD00092","J0062",2021-03-10,23.7,71,6.4,15.9,32.5,6.9
"AASTU, Ethiopia","AD00093","J0056",2021-03-09,22.3,64,3.6,8.1,25.4,19.1
"Tainan, Taiwan","AD00092","J0062",2021-03-09,23.7,68,4.1,8.9,26.2,18.4
"AASTU, Ethiopia","AD00091","J0055",2021-03-06,5,16,5.9,14,35.2,19.1
"Delhi, India","AD00096","J0066",2021-03-06,1.7,5,15.5,19.6,43.3,-1.1
"AASTU, Ethiopia","AD00091","J0055",2021-03-05,23.7,72,11.1,22.2,39.4,9.1
"Amity University Noida, India","AD00090","J0060",2021-03-05,9.3,26,7.3,16.1,28.2,21.2
"Delhi, India","AD00096","J0066",2021-03-05,23.7,66,13.9,28.2,40.4,8.4
"Tainan, Taiwan","AD00101","J0059",2021-03-05,23.7,64,5.1,12,33.8,8.2
"AASTU, Ethiopia","AD00091","J0055",2021-03-04,24,74,9.2,20.3,42.3,6.3
"AASTU, Ethiopia","AD00098","J0064",2021-03-04,17.3,53,7.8,21.4,33.2,9.7
"Amity University Noida, India","AD00090","J0060",2021-03-04,23.7,68,11.5,23.9,29.1,7
"Delhi, India","AD00096","J0066",2021-03-04,23.7,69,9.7,23.1,33.6,7.1
"Pretoria, South Africa","AD00103","J0057",2021-03-04,10.7,25,4.5,8.4,30.3,12.2
"Tainan, Taiwan","AD00101","J0059",2021-03-04,23.7,66,5.1,14.5,44.6,6.6
"AASTU, Ethiopia","AD00091","J0055",2021-03-03,23.7,69,2.7,6.7,25.5,14.3
"AASTU, Ethiopia","AD00098","J0064",2021-03-03,23.7,68,3.3,7.2,20.2,9.5
"Amity University Noida, India","AD00088","J0055",2021-03-03,3,10,2.2,3.8,26.2,14.5
"Amity University Noida, India","AD00090","J0060",2021-03-03,23,58,5,12.5,14.2,12.2
"Delhi, India","AD00096","J0066",2021-03-03,23.3,63,4.2,8.2,22.2,9.7
"Pretoria, South Africa","AD00103","J0057",2021-03-03,24,68,3.3,7.9,25.3,9.5
"Tainan, Taiwan","AD00092","J0055",2021-03-03,21.7,65,3.1,7.4,20,15.8
"Tainan, Taiwan","AD00101","J0059",2021-03-03,23.6,65,2.6,7.1,29,10.2
"AASTU, Ethiopia","AD00098","J0064",2021-03-02,23.7,66,3.3,10.6,22.1,8.4
"Amity University Noida, India","AD00090","J0060",2021-03-02,18.7,15,0.3,0.6,9.6,27.7
